sgRNA	Gene	sample1
MGLibA_00366	1700019G17Rik	0
MGLibA_00367	1700019G17Rik	0
MGLibA_00368	1700019G17Rik	0
MGLibA_00369	1700019L03Rik	0
MGLibA_00370	1700019L03Rik	0
MGLibA_00371	1700019L03Rik	0
MGLibA_00372	1700019N19Rik	0
MGLibA_00373	1700019N19Rik	0
MGLibA_00374	1700019N19Rik	0
MGLibA_00375	1700019O17Rik	0
MGLibA_00376	1700019O17Rik	0
MGLibA_00377	1700019O17Rik	0
MGLibA_00378	1700020A23Rik	0
MGLibA_00379	1700020A23Rik	0
MGLibA_00380	1700020A23Rik	0
MGLibA_00381	1700020D05Rik	0
MGLibA_00382	1700020D05Rik	0
MGLibA_00383	1700020D05Rik	0
MGLibA_00384	1700020L24Rik	0
MGLibA_00385	1700020L24Rik	0
MGLibA_00386	1700020L24Rik	0
MGLibA_00387	1700020N15Rik	0
MGLibA_00388	1700020N15Rik	0
MGLibA_00389	1700020N15Rik	0
MGLibA_00390	1700021F05Rik	0
MGLibA_00391	1700021F05Rik	0
MGLibA_00392	1700021F05Rik	0
MGLibA_00393	1700021F07Rik	0
MGLibA_00394	1700021F07Rik	0
MGLibA_00395	1700021F07Rik	0
MGLibA_00396	1700021K19Rik	0
MGLibA_00397	1700021K19Rik	0
MGLibA_00398	1700021K19Rik	0
MGLibA_00399	1700022I11Rik	0
MGLibA_00400	1700022I11Rik	0
MGLibA_00401	1700022I11Rik	0
MGLibA_00402	1700022P22Rik	0
MGLibA_00403	1700022P22Rik	0
MGLibA_00404	1700022P22Rik	0
MGLibA_00405	1700023E05Rik	0
MGLibA_00406	1700023E05Rik	0
MGLibA_00407	1700023E05Rik	0
MGLibA_00408	1700023F06Rik	0
MGLibA_00409	1700023F06Rik	0
MGLibA_00410	1700023F06Rik	0
MGLibA_00411	1700024G13Rik	0
MGLibA_00412	1700024G13Rik	0
MGLibA_00413	1700024G13Rik	0
MGLibA_00414	1700024P04Rik	0
MGLibA_00415	1700024P04Rik	0
MGLibA_00416	1700024P04Rik	0
MGLibA_00417	1700024P16Rik	0
MGLibA_00418	1700024P16Rik	0
MGLibA_00419	1700024P16Rik	0
MGLibA_00420	1700025F22Rik	0
MGLibA_00421	1700025F22Rik	0
MGLibA_00422	1700025F22Rik	0
MGLibA_00423	1700025G04Rik	0
MGLibA_00424	1700025G04Rik	0
MGLibA_00425	1700025G04Rik	0
MGLibA_00426	1700026D08Rik	0
MGLibA_00427	1700026D08Rik	0
MGLibA_00428	1700026D08Rik	0
MGLibA_00429	1700026L06Rik	0
MGLibA_00430	1700026L06Rik	0
MGLibA_00431	1700026L06Rik	0
MGLibA_00432	1700028K03Rik	0
MGLibA_00433	1700028K03Rik	0
MGLibA_00434	1700028K03Rik	0
MGLibA_00435	1700028P14Rik	0
MGLibA_00436	1700028P14Rik	0
MGLibA_00437	1700028P14Rik	0
MGLibA_00438	1700029F12Rik	0
MGLibA_00439	1700029F12Rik	0
MGLibA_00440	1700029F12Rik	0
MGLibA_00441	1700029H14Rik	0
MGLibA_00442	1700029H14Rik	0
MGLibA_00443	1700029H14Rik	0
MGLibA_00444	1700029I15Rik	0
MGLibA_00445	1700029I15Rik	0
MGLibA_00446	1700029I15Rik	0
MGLibA_00447	1700029J07Rik	0
